Quarter,Value,,,,,,,,,,,,,,,,,,,,,
1,6.29,,,,,,,,,,,,,,,,,,,,,
2,6.16,,,,,,,,,,,,,,,,,,,,,
3,6.18,,,,,,,,,,,,,,,,,,,,,
4,5.98,,,,,,,,,,,,,,,,,,,,,
5,4.47,,,,,,,,,,,,,,,,,,,,,
6,4.34,,,,,,,,,,,,,,,,,,,,,
7,3.72,,,,,,,,,,,,,,,,,,,,,
8,3.44,,,,,,,,,,,,,,,,,,,,,
9,3.88,,,,,,,,,,,,,,,,,,,,,
10,3.65,,,,,,,,,,,,,,,,,,,,,
11,3.38,,,,,,,,,,,,,,,,,,,,,
12,4.91,,,,,,,,,,,,,,,,,,,,,
13,6.18,,,,,,,,,,,,,,,,,,,,,
14,5.45,,,,,,,,,,,,,,,,,,,,,
15,5.41,,,,,,,,,,,,,,,,,,,,,
16,4.06,,,,,,,,,,,,,,,,,,,,,
17,1.81,,,,,,,,,,,,,,,,,,,,,
18,2.15,,,,,,,,,,,,,,,,,,,,,
19,1.87,,,,,,,,,,,,,,,,,,,,,
20,1.74,,,,,,,,,,,,,,,,,,,,,
21,2.25,,,,,,,,,,,,,,,,,,,,,
22,2.41,,,,,,,,,,,,,,,,,,,,,
23,2.56,,,,,,,,,,,,,,,,,,,,,
24,2.56,,,,,,,,,,,,,,,,,,,,,
25,2.28,,,,,,,,,,,,,,,,,,,,,
26,2.13,,,,,,,,,,,,,,,,,,,,,
27,2.1,,,,,,,,,,,,,,,,,,,,,
28,2.3,,,,,,,,,,,,,,,,,,,,,
29,2.54,,,,,,,,,,,,,,,,,,,,,
30,2.89,,,,,,,,,,,,,,,,,,,,,
31,2.93,,,,,,,,,,,,,,,,,,,,,
32,2.91,,,,,,,,,,,,,,,,,,,,,
33,4.48,,,,,,,,,,,,,,,,,,,,,
34,4.53,,,,,,,,,,,,,,,,,,,,,
35,4.54,,,,,,,,,,,,,,,,,,,,,
36,5.05,,,,,,,,,,,,,,,,,,,,,
37,3.59,,,,,,,,,,,,,,,,,,,,,
38,3.68,,,,,,,,,,,,,,,,,,,,,
39,4.25,,,,,,,,,,,,,,,,,,,,,
40,6.76,,,,,,,,,,,,,,,,,,,,,
41,11,,,,,,,,,,,,,,,,,,,,,
42,12.11,,,,,,,,,,,,,,,,,,,,,
43,13.51,,,,,,,,,,,,,,,,,,,,,
44,11.51,,,,,,,,,,,,,,,,,,,,,
45,7.92,,,,,,,,,,,,,,,,,,,,,
46,7.4,,,,,,,,,,,,,,,,,,,,,
47,6.53,,,,,,,,,,,,,,,,,,,,,
48,6.28,,,,,,,,,,,,,,,,,,,,,
49,6.27,,,,,,,,,,,,,,,,,,,,,
50,5.95,,,,,,,,,,,,,,,,,,,,,
51,5.46,,,,,,,,,,,,,,,,,,,,,
52,4.61,,,,,,,,,,,,,,,,,,,,,
53,4.15,,,,,,,,,,,,,,,,,,,,,
54,3.39,,,,,,,,,,,,,,,,,,,,,
55,2.75,,,,,,,,,,,,,,,,,,,,,
56,2.38,,,,,,,,,,,,,,,,,,,,,
57,2.63,,,,,,,,,,,,,,,,,,,,,
58,3.17,,,,,,,,,,,,,,,,,,,,,
59,3.32,,,,,,,,,,,,,,,,,,,,,
60,3.51,,,,,,,,,,,,,,,,,,,,,
61,3.69,,,,,,,,,,,,,,,,,,,,,
62,3.08,,,,,,,,,,,,,,,,,,,,,
63,2.89,,,,,,,,,,,,,,,,,,,,,
64,2.69,,,,,,,,,,,,,,,,,,,,,
65,1.63,,,,,,,,,,,,,,,,,,,,,
66,1.26,,,,,,,,,,,,,,,,,,,,,
67,1.25,,,,,,,,,,,,,,,,,,,,,
68,1.24,,,,,,,,,,,,,,,,,,,,,
69,1.31,,,,,,,,,,,,,,,,,,,,,
70,1.36,,,,,,,,,,,,,,,,,,,,,
71,1.26,,,,,,,,,,,,,,,,,,,,,
72,1.15,,,,,,,,,,,,,,,,,,,,,
73,0.96,,,,,,,,,,,,,,,,,,,,,
74,0.96,,,,,,,,,,,,,,,,,,,,,
75,1.02,,,,,,,,,,,,,,,,,,,,,
76,1.18,,,,,,,,,,,,,,,,,,,,,
77,1.58,,,,,,,,,,,,,,,,,,,,,
78,1.65,,,,,,,,,,,,,,,,,,,,,
79,1.94,,,,,,,,,,,,,,,,,,,,,
80,2.01,,,,,,,,,,,,,,,,,,,,,
81,1.79,,,,,,,,,,,,,,,,,,,,,
82,1.92,,,,,,,,,,,,,,,,,,,,,
83,1.96,,,,,,,,,,,,,,,,,,,,,
84,1.74,,,,,,,,,,,,,,,,,,,,,
85,1.89,,,,,,,,,,,,,,,,,,,,,
86,1.76,,,,,,,,,,,,,,,,,,,,,
87,1.46,,,,,,,,,,,,,,,,,,,,,
88,1.39,,,,,,,,,,,,,,,,,,,,,
